H	Env	GY_BLUE	GM_BLUE	NE_BLUE
H_72	2006_CAMPO_MOURAO	5.30819916838469	37.9682562650334	39.4519117462707
H_73	2006_CAMPO_MOURAO	5.61358949876846	23.9241048891989	43.8245957126733
H_74	2006_CAMPO_MOURAO	5.83114144203956	33.4539860540093	42.5120220634324
H_75	2006_CAMPO_MOURAO	5.94433706657743	32.1137122093532	39.1513601604621
H_76	2006_CAMPO_MOURAO	6.14469098144379	33.4531671386413	41.6442647611881
H_77	2006_CAMPO_MOURAO	6.15266221650667	28.9219814053457	43.7284192052147
H_78	2006_CAMPO_MOURAO	6.19435012851077	32.712407640868	42.4519117462708
H_79	2006_CAMPO_MOURAO	5.09979451218066	32.9984345178178	42.5120220634325
H_80	2006_CAMPO_MOURAO	6.51438166373053	34.9362516163699	41.7956249216503
H_81	2006_CAMPO_MOURAO	6.53276845026746	31.776192198775	41.2715807947856
H_82	2006_CAMPO_MOURAO	5.14315878065123	31.9820408229404	43.1442647611882
H_83	2006_CAMPO_MOURAO	6.66371072392233	35.7619219877509	45.8316911119473
H_84	2006_CAMPO_MOURAO	5.1072273969612	37.9695608335186	40.5240441268647
H_85	2006_CAMPO_MOURAO	5.92526026332657	29.2111030723829	42.9639338097031
H_86	2006_CAMPO_MOURAO	6.15816654983328	31.7989563452118	42.6562868246206
H_87	2006_CAMPO_MOURAO	5.68861322407346	23.2338672188197	42.7524633320792
H_88	2006_CAMPO_MOURAO	5.65780113607756	28.924293454342	43.4759558731353
H_89	2006_CAMPO_MOURAO	6.03074551974745	30.8603203312918	43.5360661902971
H_90	2006_CAMPO_MOURAO	6.41783267129732	33.3481374298438	47.8196690485149
H_91	2006_CAMPO_MOURAO	5.40378981774349	28.9875923591319	41.391801429109
H_92	2006_CAMPO_MOURAO	5.7802793402323	33.999441998329	38.7114704776238
H_93	2006_CAMPO_MOURAO	5.7577518338769	33.1690390061245	39.536066190297
H_94	2006_CAMPO_MOURAO	5.95983898542677	37.3568561046766	42.3196690485149
H_95	2006_CAMPO_MOURAO	5.00579613187294	36.7463110339647	40.8918014291089
H_96	2006_CAMPO_MOURAO	6.73822577196371	25.8967966870818	41.2956249216502
H_97	2006_CAMPO_MOURAO	5.08911610234748	24.4526453112472	37.6683088880528
